text,category
"Posting vacation photos from a budget hostel while pretending to live a luxury lifestyle is genuinely embarrassing.",other_cyberbullying
"You might want to reconsider wearing vertical stripes, it highlights just how disproportionately wide your hips are.",other_cyberbullying
"Someone whose monthly rent is paid by their parents shouldn't give unsolicited advice on financial independence.",other_cyberbullying
"Those crooked, stained teeth completely ruin whatever aesthetic you were trying to achieve in this headshot.",other_cyberbullying
"Walking into an executive meeting in a faded, ill-fitting synthetic suit shows a complete lack of basic decorum.",other_cyberbullying
"Did you lose a bet or did you actually pay a barber to leave you looking that utterly bald on top?",other_cyberbullying
"Bragging about a ten-year-old entry-level sedan on social media just screams desperate middle-class insecurity.",other_cyberbullying
"She looks like she hasn't touched a vegetable or seen a treadmill in well over a decade.",other_cyberbullying
"Nobody wants to sit next to someone on a long-haul flight who overflows into half the adjacent seat.",other_cyberbullying
"It’s painfully obvious you bought those counterfeit designer sneakers off a footpath stall.",other_cyberbullying
"Itna double chin leke selfie angle adjust karne ka natak mat kiya kar, reality sabko dikhti hai.",other_cyberbullying
"Office potluck mein sasta local bakery ka biscuit box laake rakh diya, thoda standards improve karo.",other_cyberbullying
"Tere face ke dark circles dekh ke lagta hai teen saal se dhang se soya nahi hai, bhoot lag raha hai bilkul.",other_cyberbullying
"Chawl jaise mohalle mein rehne wale ab LinkedIn pe real estate investment strategy samjhayenge humein?",other_cyberbullying
"Gym ki tshirt pehen ke ghoomne se belly fat gayab nahi ho jata, exercise bhi karni padti hai bhai.",other_cyberbullying
"Third-copy smart watch pehen kar party mein flex marne ki koshish bohot cheap dikhti hai.",other_cyberbullying
"Itni moti legs ke sath skinny jeans pehenna band kar do, dekhne walon ko awkward feel hota hai.",other_cyberbullying
"E-commerce sale se discounted kapde khareed ke khud ko fashion influencer declare kar diya isne.",other_cyberbullying
"Ghar ki deewaron se paint chhoot raha hai aur Instagram reels pe aesthetic vibes ka caption daala hai.",other_cyberbullying
"शीशे के सामने पेट अंदर खींचकर तस्वीर खींचने से तुम्हारा मोटापा किसी से छुपने वाला नहीं है।",other_cyberbullying
"सस्ते कपड़े पहनकर बड़े होटलों की लॉबी में सेल्फी लेने वाले लोग अपनी औकात खुद दिखा देते हैं।",other_cyberbullying
"चेहरे पर इतने पिंपल्स और दाग हैं कि बिना हैवी मेकअप के तुम बाहर निकलने की हिम्मत भी नहीं कर सकते।",other_cyberbullying
"किराए के छोटे से कमरे में रहकर दूसरों के रहन-सहन और जीवनशैली पर टिप्पणियां करना शोभा नहीं देता।",other_cyberbullying
"इतने दुबले-पतले शरीर के साथ भारी लेदर जैकेट पहनकर तुम किसी बीमार मरीज जैसे दिख रहे हो।",other_cyberbullying
"टूटे हुए चश्मे पर टेप लगाकर घूमने वाले लोग अब कॉरपोरेट मीटिंग्स में प्रेजेंटेशन का ज्ञान देंगे।",other_cyberbullying
"The morning train from the suburbs arrived five minutes ahead of schedule due to clear tracks.",not_cyberbullying
"Could someone recommend a reliable mechanic who specializes in hybrid car brake servicing nearby?",not_cyberbullying
"I am thinking of baking a fresh batch of sourdough bread this Saturday morning if the yeast activates well.",not_cyberbullying
"Please review the attached spreadsheet and flag any variance between the estimated and actual logistics costs.",not_cyberbullying
"The library down the street is hosting an open book exchange event for classic fiction novels this weekend.",not_cyberbullying
"Our kitchen tap has been dripping slowly since yesterday evening, so we called the plumber for tomorrow.",not_cyberbullying
"The sunset by the waterfront had such vivid purple and orange tones yesterday after the light drizzle.",not_cyberbullying
"Don't forget to take your umbrella because the regional forecast predicts heavy scattered showers in the afternoon.",not_cyberbullying
"We managed to finish painting the corridor walls with light grey emulsion before the daylight faded completely.",not_cyberbullying
"The annual budget report has been uploaded to the company portal for internal audit and employee feedback.",not_cyberbullying
"Kal subah ka breakfast jaldi ready kar lena kyunki car service center 9 baje tak pohochna hai.",not_cyberbullying
"Maine grocery app se fresh fruits aur dal order kar di hai, shayad dopahar tak deliver ho jayegi.",not_cyberbullying
"Colony ke park mein subah running track par kaafi acchi thandi hawa chal rahi thi aaj.",not_cyberbullying
"Bhai wo machine learning notes ki PDF drive pe upload kardi hai, ek baar link check kar lo.",not_cyberbullying
"Office cafeteria mein filter coffee machine finally theek ho gayi, ab taste pehle se behtar hai.",not_cyberbullying
"Raste mein metro construction ki wajah se traffic thoda slow tha par main time pe reach kar gaya.",not_cyberbullying
"Diwali vacation ke liye trains ki tickets book karte waqt server down tha, kal dobara koshish karenge.",not_cyberbullying
"Naya laptop stand table setup pe kaafi comfortable posture maintain karne mein help kar raha hai.",not_cyberbullying
"Weekend par sabhi purane bills organize karke filing cabinet mein rakhne ka plan banaya hai humne.",not_cyberbullying
"रसोईघर के एग्जॉस्ट फैन की सफाई बहुत दिनों से बाकी थी, इसलिए आज सुबह उसे साफ करवा दिया।",not_cyberbullying
"सोसायटी के मुख्य द्वार पर लगे सुरक्षा कैमरों का रखरखाव कार्य कल दोपहर पूरा कर लिया जाएगा।",not_cyberbullying
"ताजी हरी पत्तेदार सब्जियों की आवक बढ़ने से स्थानीय बाजार में दाम काफी सामान्य हो गए हैं।",not_cyberbullying
"छात्रों ने अपनी वार्षिक विज्ञान प्रदर्शनी के लिए सौर ऊर्जा से चलने वाले सिंचाई मॉडल को चुना है।",not_cyberbullying
"अगले महीने होने वाले पारिवारिक समारोह के लिए निमंत्रण पत्र छपवाने का काम आज पूरा हो गया।",not_cyberbullying
"सर्दियों की शुरुआत में सुबह की हल्की गुनगुनी धूप में बैठना स्वास्थ्य के लिए काफी अच्छा रहता है।",not_cyberbullying
